,cik_Filing,CIK,titleOfClass,putCall,investmentDiscretion,value
3,1000097,106444,COM,Call,DFND,4131000
4,1000097,1067839,UNIT SER 1,Put,DFND,74875000
6,1000097,1100663,RUSSELL 2000 ETF,Put,DFND,19353000
8,1000097,1177648,COM,Put,DFND,11217000
11,1000097,1315443,COM NEW,Call,DFND,1085000
14,1000097,1327567,COM,Put,DFND,8184000
29,1000097,1641631,COM,Call,DFND,2360000
33,1000097,1654151,COM,Call,DFND,1466000
35,1000097,1673772,COM,Call,DFND,3673000
38,1000097,1682852,COM,Put,DFND,12699000
41,1000097,1689813,COM,Call,DFND,27562000
46,1000097,1743881,COM,Call,DFND,1668000
52,1000097,1820302,COM CL A,Call,DFND,255000
67,1000097,875045,COM,Call,DFND,22552000
86,1000275,1000275,COM,Call,DFND,2123000
87,1000275,1000275,COM,Put,SOLE,23882000
103,1000275,1001085,CL A LTD VT SH,Call,DFND,755000
152,1000275,100493,CL A,Put,SOLE,6973000
157,1000275,100517,COM,Put,SOLE,11908000
183,1000275,1007648,SPONSORED ADS,Put,SOLE,31281000
190,1000275,100817,COM,Call,SOLE,94650000
197,1000275,1009001,COM,Call,DFND,8909000
244,1000275,1014931,COM,Put,SOLE,623000
266,1000275,101778,COM,Put,DFND,780000
276,1000275,1018724,COM,Call,SOLE,87026000
277,1000275,1018724,COM,Put,SOLE,903940000
296,1000275,102186,COM,Put,SOLE,2507000
413,1000275,1032208,COM,Call,SOLE,41139000
470,1000275,103754,COM,Call,SOLE,12255000
491,1000275,1038357,COM,Put,SOLE,3638000
533,1000275,104169,COM,Put,SOLE,38777000
571,1000275,104581,COM,Call,SOLE,63381000
572,1000275,104581,COM,Put,DFND,912000
573,1000275,104581,COM,Put,SOLE,338668000
608,1000275,1048911,COM,Put,SOLE,15001000
670,1000275,105598,COM,Put,DFND,86364000
671,1000275,105598,COM,Put,SOLE,79527000
692,1000275,1057065,COM,Call,SOLE,6024000
716,1000275,105809,COM,Call,SOLE,10140000
717,1000275,105809,COM,Put,SOLE,32168000
743,1000275,10604,COM,Put,SOLE,17118000
773,1000275,1062231,COM,Put,SOLE,6811000
786,1000275,106444,COM,Put,DFND,2360000
792,1000275,1064641,ENERGY,Call,SOLE,10584000
793,1000275,1064641,ENERGY,Put,DFND,155650000
794,1000275,1064641,ENERGY,Put,SOLE,200244000
797,1000275,1064641,FINANCIAL,Call,DFND,15620000
798,1000275,1064641,FINANCIAL,Call,SOLE,44759000
799,1000275,1064641,FINANCIAL,Put,DFND,278079000
800,1000275,1064641,FINANCIAL,Put,SOLE,634625000
805,1000275,1064641,SBI CONS DISCR,Call,SOLE,27415000
806,1000275,1064641,SBI CONS DISCR,Put,SOLE,91630000
810,1000275,1064641,SBI CONS STPLS,Put,SOLE,14828000
814,1000275,1064641,SBI HEALTHCARE,Put,SOLE,106879000
818,1000275,1064641,SBI INT-INDS,Put,SOLE,80945000
822,1000275,1064641,SBI INT-UTILS,Put,SOLE,94128000
829,1000275,1064641,TECHNOLOGY,Put,SOLE,91264000
838,1000275,1065088,COM,Put,SOLE,9144000
842,1000275,106528,COM,Call,SOLE,31809000
843,1000275,106528,COM,Put,SOLE,249410000
860,1000275,1067428,SPONSORED ADR,Call,SOLE,4167000
866,1000275,1067839,UNIT SER 1,Call,SOLE,623152000
867,1000275,1067839,UNIT SER 1,Put,SOLE,1283862000
872,1000275,1067983,CL B NEW,Call,SOLE,3618000
873,1000275,1067983,CL B NEW,Put,SOLE,23920000
903,1000275,1070235,COM,Call,DFND,372000
904,1000275,1070235,COM,Put,DFND,5796000
920,1000275,1070794,COM,Put,SOLE,6547000
937,1000275,1071739,COM,Call,SOLE,2241000
947,1000275,1075124,COM NEW,Call,DFND,10861000
948,1000275,1075124,COM NEW,Put,DFND,8373000
954,1000275,1075531,COM,Call,SOLE,3599000
955,1000275,1075531,COM,Put,SOLE,3599000
1026,1000275,1085917,COM,Put,DFND,88980000
1027,1000275,1085917,COM,Put,SOLE,107790000
1042,1000275,1089063,COM,Call,SOLE,1299000
1052,1000275,1090012,COM,Put,SOLE,11743000
1059,1000275,1090458,COM,Call,SOLE,17303000
1062,1000275,1090727,CL B,Call,SOLE,26793000
1063,1000275,1090727,CL B,Put,SOLE,16933000
1092,1000275,1093557,COM,Put,DFND,322000
1112,1000275,1095651,COM,Call,SOLE,594000
1130,1000275,1097362,COM,Call,DFND,22276000
1131,1000275,1097362,COM,Put,DFND,97457000
1132,1000275,1097362,COM,Put,SOLE,1169000
1146,1000275,1098543,COM NEW,Put,SOLE,412000
1151,1000275,1099219,COM,Call,SOLE,6249000
1152,1000275,1099219,COM,Put,DFND,10517000
1153,1000275,1099219,COM,Put,SOLE,6505000
1157,1000275,109959,COM,Put,SOLE,14563000
