,scc,company,id
0,14082,EQUITABLE HLDG IN,1333986
1,14082,GOLDMAN SACHS GRP IN,886982
2,14082,ROYAL BK OF CANADA,1000275
3,14082,BROOKFIELD ASSET MANAGEMENT IN,1001085
4,14082,UNITED FIRE GRP IN,101199
5,14082,UNIVEST FINANCIAL CORP,102212
6,14082,SUMITOMO MITSUI FINANCIAL GRP IN,1022837
7,14082,ENTERPRISE FINANCIAL SERVICES CORP,1025835
8,14082,ING GROEP NV,1039765
9,14082,GRAHAM HLDG CO,104889
10,14082,AMERITAS INVESTMENT PARTNERS IN,105598
11,14082,FEDERATED HERMES IN,1056288
12,14082,BERKSHIRE HATHAWAY IN,1067983
13,14082,LCNB CORP,1074902
14,14082,TEXAS CAPITAL BANCSHARES INTX,1077428
15,14082,MARKEL CORP_1096343,1096343
16,14082,SUN LIFE FINANCIAL IN,1097362
17,14082,PRINIPAL FINANCIAL GRP IN,1126328
18,14082,ITAU UNIBANCO HLDG SA,1132597
19,14082,BERKLEY W R CORP,11544
20,14082,AGF INVESTMENTS IN,1157765
21,14082,NOMURA HLDG IN,1163653
22,14082,WEST BANCORP IN,1166928
23,14082,NICOLET BKSHARES IN,117485
24,14082,HILLTOP HLDG IN,1265131
25,14082,JANUS HENDERSON GRP PLC,1274173
26,14082,CININNATI INSURANCE CO,1279885
27,14082,REGIONS FINANCIAL CORP_1281761,1281761
28,14082,COHEN & STEERS IN,1284812
29,14082,CADENCE BK,1299939
30,14082,ENSTAR GRP LTD,1363829
31,14082,BLACKROCK IN,1364742
32,14082,PEOPLE'S UNITED FINANCIAL IN,1378946
33,14082,BK OF NEW YORK MELLON CORP,1390777
34,14082,SPROTT IN,151292
35,14082,BK OZK,156965
36,14082,FIRST TR CAPITAL MANAGEMENT LP,1604488
37,14082,UBS GRP AG,161052
38,14082,ZIONS BANCORP NA,1666757
39,14082,FIRST BK & TR,1692632
40,14082,APPLIED CAPITAL LLC,1862965
41,14082,CENTRAL SECURITIES CORP,18748
42,14082,JPMORGAN CHASE & CO,19617
43,14082,CNA FINANCIAL CORP,21175
44,14082,ADAMS DIVERSIFIED EQUITY FDS IN,223
45,14082,BARCLAYS PLC,312069
46,14082,FIFTH THIRD BANCORP,35527
47,14082,TRCO BK CORP N Y,357301
48,14082,M&T BK CORP,3627
49,14082,FRANKLIN RESOURCES IN,38777
50,14082,CULLENFROST BKERS IN,39263
51,14082,ALLY FINANCIAL IN,40729
52,14082,AMERICAN INTERNATIONAL GRP IN,5272
53,14082,LINOLN NATIONAL CORP,59558
54,14082,LOEWS CORP,60086
55,14082,MITSUBISHI UFJ FINANCIAL GRP IN,67088
56,14082,FIRST MERCHANTS CORP,712534
57,14082,FIRST MONWEALTH FINANCIAL CORP PA,712537
58,14082,GERMAN AMERICAN BANCORP IN,714395
59,14082,WESTPAC BKING CORP,719245
60,14082,STIFEL FINANCIAL CORP,720672
61,14082,NORTHERN TR CORP,73124
62,14082,HANCOCK WHITNEY CORP,750577
63,14082,SOUTHSTATE CORP,764038
64,14082,FIRST BANCORP IN ME,765207
65,14082,ASSOCIATED BANC-CORP,7789
66,14082,DAILY JOURNAL CORP,783412
67,14082,CREDIT SUISSE AG,824468
68,14082,CITIGRP IN,831001
69,14082,NATWEST GRP PLC,84415
70,14082,KEMPER CORP_860748,860748
71,14082,LINOLN CAPITAL CORP,872359
72,14082,HSBC HLDG PLC,87363
73,14082,ATLANTIC UNION BKSHARES CORP,883948
74,14082,BANCO SANTANDER SA,891478
75,14082,MORGAN STANLEY,895421
76,14082,PRUDENTIAL PLC,898419
77,14082,ALLSTATE CORP,899051
78,14082,BARINGS LLC,9015
79,14082,STONEX GRP IN,91376
80,14082,INVESCO LTD,914208
81,14082,TORONTO DOMINION BK,947263
82,14082,BK OF NOVA SCOTIA,9631
83,14082,TOMPKINS FINANCIAL CORP,1005817
84,14082,CAPITAL INTERNATIONAL LTD CA,106535
85,14082,SEI INVESTMENTS CO,350894
86,14082,CITIZENS FINANCIAL GRP INRI,759944
87,14082,STATE STREET CORP,93751
88,14082,PEAPACK GLADSTONE FINANCIAL CORP,1050743
89,14082,PRUDENTIAL FINANCIAL IN,1137774
90,14082,NORTHWEST BANCSHARES IN,1471265
91,14082,SYNOVUS FINANCIAL CORP,18349
92,14082,CININNATI FINANCIAL CORP,20286
93,14082,OLD NATIONAL BANCORP IN,707179
94,14082,OLD REPUBLIC INTERNATIONAL CORP,7426
95,14082,AMERIPRISE FINANCIAL IN,820027
96,14082,TRUIST FINANCIAL CORP,9223
97,14082,CAPITAL ONE FINANCIAL CORP,927628
98,14082,PNC FINANCIAL SERVICES GRP IN,713676
99,14082,AMERICAN FINANCIAL GRP IN,1042046
100,14082,PINNACLE FINANCIAL PARTNERS IN,1115055
101,14082,FINANCIAL STRATEGIES GRP IN,1774343
102,14082,NORWOOD FINANCIAL CORP,1013272
103,14082,PEOPLES FINANCIAL SERVICES CORP,1056943
104,14082,CITIZENS & NORTHERN CORP,810958
105,14082,BANCO BILBAO VIZCAYA ARGENTARIA SA,84218
106,14082,TWEEDY BROWNE CO LLC,732905
107,14082,HENNESSY ADVISORS IN,1145255
108,14082,CUMBERLAND PARTNERS LTD,1578985
109,14082,U S GLOBAL INVESTORS IN,754811
110,14082,GENERAL AMERICAN INVESTORS CO IN,40417
111,14082,AIA GRP LTD,1522877
112,14082,NOVO HLDG AS,1388325
113,14082,FIDELITY NATIONAL FINANCIAL IN,1331875
114,14082,SUMMIT FINANCIAL GRP IN,811808
115,14082,ARROW FINANCIAL CORP,717538
116,14082,BERKSHIRE BK,1831984
117,14082,VANGUARD GRP IN,102909
